id,trigger,conditions,script,text,options,notes
#RULESET_NAME Station Augments,,,,,,
SA_addViewAugmentsOption,PopulateOptions,"$menuState == main
SA_hasViewableStation","SetShortcut SA_viewAugmentsOption ""J"" true
FireBest SA_modifyViewAugmentsOption",,998:SA_viewAugmentsOption:View station augments,
SA_modifyViewAugmentsOptionNoAugments,SA_modifyViewAugmentsOption,!SA_hasAugmentsToView,"SetEnabled SA_viewAugmentsOption false
SetTooltip SA_viewAugmentsOption ""This station has no installed augments, and you cannot modify them.""",,,
SA_viewAugmentsOption,DialogOptionSelected,$option == SA_viewAugmentsOption,SA_viewAugments,,,
,,,,,,
# Black site,,,,,,
,,,,,,
# Jump Anchor,,,,,,
SA_JAExplore,OpenInteractionDialog,$customType == SA_jumpAnchor score:1000,ShowDefaultVisual,"As your $shipOrFleet approaches the anchor, sensors and nav light the bridge up in equal parts red and yellow as alarms blare. It would seem the ""space-time collapse"" phenomenon mentioned in tactical's preliminary assessment is well underway, and while the anchor itself is stable, the space around it is not.

Tactical advises against a salvage-op, which you and your ops chief agree on without argument. You'd rather not be collapsed yourself.",defaultLeave:Leave,
#END Jump Anchor,,,,,,
,,,,,,
# Mote Station,,,,,,
SA_MSOpenComms,OpenCommLink,$entity.SA_moteFleet score:1000,EndConversation,"Your request is routed through a sub-connector, then another, before forming an elegant yet frustrating loop of errors on the main display. Your comms officer lets out a groan before getting to work.

The loop forms, twists, contorts into all manners of shapes before your eyes, giving you a splitting headache. But, by the time you've pinched your eyes, it's gone - the comm-link has failed, and your subordinates eye you expectantly, seemingly immune - or unaware - of what just transpired.",,
SA_MSInitialExplore,OpenInteractionDialog,"$SA_moteStation score:10000
!$global.SA_exploredMSOne score:50",ShowDefaultVisual,"Your $shipOrFleet carefully approaches the star fortress, tiptoeing through what might be its sensor net.

While the fortress itself seems rather inert at this distance, your sensors officer is brought to alert by the presence of ""EM anomalies"" - as your sensor officer stammers - seeming to slip in and out of the station, taking its baryonic walls as mere suggestion. They fly in erratic pack-fashion, forming small groups that patrol the pitted exterior of the fortress.

Something tickles the back of your mind - that unfamiliar music, playing a haunting tune. You snap your gaze off the weathered station, trying to regain focus.","SA_MSExploreTwo:Bring the $shipOrFleet closer
defaultLeave:Leave",
SA_MSRevisitActive,OpenInteractionDialog,"$SA_moteStation score:10000
$global.SA_exploredMSOne score:60
!$global.SA_defeatedMS score:20","SA_MSCMD showFleet

SetShortcut SA_viewAugmentsOption ""J"" true
SetOptionColor SA_viewAugmentsOption highlight","Your $shipOrFleet carefully approaches the star fortress. Almost immediately, the fortress deploys its shields and anomalous defenders, prompting that itching in your skull to come up again. Tactical offers you a nervous glance, awaiting your next orders.","SA_MSExploreThree:Continue
SA_viewAugmentsOption:View station augments
defaultLeave:Leave",
SA_MSRevisitDead,OpenInteractionDialog,"$SA_moteStation score:10000
$global.SA_exploredMSOne score:60
$global.SA_defeatedMS score:100","ShowDefaultVisual
$salvageLeaveText = Leave 0
FireAll PopulateSalvageOptions1","Your $shipOrFleet approaches the now-dead station, ripe for the picking.",,
